BaP measurements at city level;;;;;;;;;;;
BaP: percentage of population and exceedances. Results are shown at city level.;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_TV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_TV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_TV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_TV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code or distinct components or distinct  statistics_average_group);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;city_code;city_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;AT001C1;Wien;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2007;52889,28;1;52889,28;1;50;50
AT;AT001C1;Wien;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2008;0;0;105778,56;2;0;100
AT;AT001C1;Wien;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2009;0;0;105778,56;2;0;100
AT;AT001C1;Wien;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2010;52889,28;1;52889,28;1;50;50
AT;AT001C1;Wien;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2011;0;0;105778,56;2;0;100
AT;AT001C1;Wien;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2012;0;0;105778,56;2;0;100
AT;AT002C1;Graz;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2007;232038,144;1;0;0;100;0
AT;AT002C1;Graz;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2008;232038,144;1;0;0;100;0
AT;AT002C1;Graz;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2009;232038,144;1;0;0;100;0
AT;AT002C1;Graz;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2010;232038,144;1;0;0;100;0
AT;AT002C1;Graz;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2011;232038,144;1;0;0;100;0
AT;AT002C1;Graz;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2012;232038,144;1;0;0;100;0
AT;AT003C1;Linz;BaP, BaP in PM10, BaP in PM2.5;Benzo(a)pyrene (air+aerosol), Benzo(a)pyrene in PM10 (aerosol), Benzo(a)pyrene in PM10 (air+aerosol), Benzo(a)pyrene in PM2.5 (aerosol);2006;185739;2;0;0;100;0
