NO2 measurements at city level  ;;;;;;;;;;;
NO2: percentage of population and exceedances. Results are shown at city level.;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_LV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_LV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_LV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_LV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;city_code;city_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1988;474901,66;6;1177888,34;4;28,7333333333333;71,2666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1989;351860,626666667;9;1300929,37333333;6;21,2888888888889;78,7111111111111
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1990;300335,554285714;7;1352454,44571429;8;18,1714285714286;81,8285714285714
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1991;52889,28;4;1599900,72;11;3,2;96,8
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1992;52889,28;4;1599900,72;10;3,2;96,8
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1993;268014,327619048;5;1384775,67238095;11;16,215873015873;83,784126984127
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1994;47012,6933333333;4;1605777,30666667;12;2,84444444444444;97,1555555555556
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1995;47012,6933333333;4;1605777,30666667;12;2,84444444444444;97,1555555555556
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1996;279767,500952381;6;1373022,49904762;10;16,9269841269841;83,0730158730159
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1997;246265,71;5;1406524,29;11;14,9;85,1
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1998;47012,6933333333;4;1605777,30666667;12;2,84444444444444;97,1555555555556
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);1999;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2000;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2001;23506,3466666667;2;1629283,65333333;14;1,42222222222222;98,5777777777778
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2002;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2003;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2004;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2005;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2006;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2007;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2008;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2009;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2010;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2011;35259,52;3;1617530,48;13;2,13333333333333;97,8666666666667
AT;AT001C1;Wien;NO2;Nitrogen dioxide (air);2012;11753,1733333333;1;1641036,82666667;15;0,711111111111111;99,2888888888889
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1990;92815,2576;2;139222,8864;3;40;60
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1991;185630,5152;4;46407,6288;1;80;20
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1992;92815,2576;2;139222,8864;3;40;60
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1993;92815,2576;2;139222,8864;3;40;60
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1994;46407,6288;1;185630,5152;4;20;80
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1995;0;0;232038,144;5;0;100
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1996;38673,024;1;193365,12;5;16,6666666666667;83,3333333333333
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1997;38673,024;1;193365,12;5;16,6666666666667;83,3333333333333
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1998;38673,024;1;193365,12;5;16,6666666666667;83,3333333333333
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);1999;0;0;232038,144;6;0;100
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);2000;15865,856;1;232038,144;5;6,4;93,6
AT;AT002C1;Graz;NO2;Nitrogen dioxide (air);2001;62273,4848;2;185630,5152;4;25,12;74,88
