NO2 measurements at country level  ;;;;;;;;;;
NO2: percentage of population and exceedances. Results are shown at country level (including EU28 and EEA33 aggregates).;;;;;;;;;;
;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_LV?=1;;;;;;;;;;
nb_of_station_exc: count of stations having above_LV?=1;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_LV?=0;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_LV?=0;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;
;;;;;;;;;;
country_iso_code;country_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;Austria;NO2;Nitrogen dioxide (air);1985;0;0;173851,704;1;0;100
AT;Austria;NO2;Nitrogen dioxide (air);1988;481987,612;7;1177888,34;4;29,0375682242549;70,9624317757451
AT;Austria;NO2;Nitrogen dioxide (air);1989;358946,578666667;11;1300929,37333333;6;21,6249038510479;78,3750961489521
AT;Austria;NO2;Nitrogen dioxide (air);1990;475961,219885714;14;1611121,44411429;14;22,8050967072627;77,1949032927373
AT;Austria;NO2;Nitrogen dioxide (air);1991;257435,9872;11;1835613,7808;18;12,2995635906924;87,7004364093076
AT;Austria;NO2;Nitrogen dioxide (air);1992;168163,7056;10;1924886,0624;18;8,03438638540772;91,9656136145923
AT;Austria;NO2;Nitrogen dioxide (air);1993;428209,721219048;9;1664840,04678095;21;20,4586497543353;79,5413502456647
AT;Austria;NO2;Nitrogen dioxide (air);1994;102849,890133333;7;1990199,87786667;25;4,91387695150751;95,0861230484925
AT;Austria;NO2;Nitrogen dioxide (air);1995;51727,4773333333;5;2041322,29066667;28;2,47139261207158;97,5286073879284
AT;Austria;NO2;Nitrogen dioxide (air);1996;323155,308952381;8;1873526,50704762;28;14,7110658721081;85,2889341278919
AT;Austria;NO2;Nitrogen dioxide (air);1997;293196,494;8;1903485,322;26;13,3472445515068;86,6527554484932
AT;Austria;NO2;Nitrogen dioxide (air);1998;94362,9333333333;7;2102318,88266667;28;4,29570330331962;95,7042966966804
AT;Austria;NO2;Nitrogen dioxide (air);1999;50463,264;7;2042586,504;27;2,41099207345747;97,5890079265425
AT;Austria;NO2;Nitrogen dioxide (air);2000;59802,592;6;2049113,032;29;2,83570339749164;97,1642966025083
AT;Austria;NO2;Nitrogen dioxide (air);2001;94457,0474666667;6;2014458,57653333;29;4,47893914729073;95,5210608527093
