O3 measurements at city level;;;;;;;;;;;
O3: percentage of population and exceedances. Results are shown at city level.;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_TV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_TV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_TV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_TV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;city_code;city_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;AT001C1;Wien;O3;Ozone (air);1992;1237609,152;4;309402,288;1;80;20
AT;AT001C1;Wien;O3;Ozone (air);1993;928206,864;3;618804,576;2;60;40
AT;AT001C1;Wien;O3;Ozone (air);1994;1547011,44;5;0;0;100;0
AT;AT001C1;Wien;O3;Ozone (air);1995;928206,864;3;618804,576;2;60;40
AT;AT001C1;Wien;O3;Ozone (air);1996;928206,864;3;618804,576;2;60;40
AT;AT001C1;Wien;O3;Ozone (air);1997;928206,864;3;618804,576;2;60;40
AT;AT001C1;Wien;O3;Ozone (air);1998;928206,864;3;618804,576;2;60;40
AT;AT001C1;Wien;O3;Ozone (air);1999;309402,288;1;1237609,152;4;20;80
AT;AT001C1;Wien;O3;Ozone (air);2000;1547011,44;5;0;0;100;0
AT;AT001C1;Wien;O3;Ozone (air);2001;1237609,152;4;309402,288;1;80;20
AT;AT001C1;Wien;O3;Ozone (air);2002;928206,864;3;618804,576;2;60;40
AT;AT001C1;Wien;O3;Ozone (air);2003;1547011,44;5;0;0;100;0
AT;AT001C1;Wien;O3;Ozone (air);2004;309402,288;1;1237609,152;4;20;80
AT;AT001C1;Wien;O3;Ozone (air);2005;618804,576;2;928206,864;3;40;60
AT;AT001C1;Wien;O3;Ozone (air);2006;928206,864;3;618804,576;2;60;40
AT;AT001C1;Wien;O3;Ozone (air);2007;1237609,152;4;309402,288;1;80;20
AT;AT001C1;Wien;O3;Ozone (air);2008;309402,288;1;1237609,152;4;20;80
AT;AT001C1;Wien;O3;Ozone (air);2009;309402,288;1;1237609,152;4;20;80
AT;AT001C1;Wien;O3;Ozone (air);2010;309402,288;1;1237609,152;4;20;80
AT;AT001C1;Wien;O3;Ozone (air);2011;309402,288;1;1237609,152;4;20;80
AT;AT001C1;Wien;O3;Ozone (air);2012;309402,288;1;1237609,152;4;20;80
AT;AT002C1;Graz;O3;Ozone (air);1992;232038,144;2;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);1993;232038,144;3;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);1994;232038,144;3;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);1995;174028,608;3;58009,536;1;75;25
AT;AT002C1;Graz;O3;Ozone (air);1996;116019,072;2;116019,072;2;50;50
AT;AT002C1;Graz;O3;Ozone (air);1997;116019,072;2;116019,072;2;50;50
AT;AT002C1;Graz;O3;Ozone (air);1998;232038,144;3;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);1999;174028,608;3;58009,536;1;75;25
AT;AT002C1;Graz;O3;Ozone (air);2000;232038,144;3;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);2001;232038,144;4;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);2002;232038,144;4;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);2003;232038,144;3;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);2004;58009,536;1;174028,608;3;25;75
AT;AT002C1;Graz;O3;Ozone (air);2005;174028,608;3;58009,536;1;75;25
AT;AT002C1;Graz;O3;Ozone (air);2006;174028,608;3;58009,536;1;75;25
AT;AT002C1;Graz;O3;Ozone (air);2007;232038,144;4;0;0;100;0
AT;AT002C1;Graz;O3;Ozone (air);2008;58009,536;1;174028,608;3;25;75
AT;AT002C1;Graz;O3;Ozone (air);2009;58009,536;1;174028,608;3;25;75
AT;AT002C1;Graz;O3;Ozone (air);2010;77346,048;1;154692,096;2;33,3333333333333;66,6666666666667
AT;AT002C1;Graz;O3;Ozone (air);2011;174028,608;3;58009,536;1;75;25
AT;AT002C1;Graz;O3;Ozone (air);2012;58009,536;1;174028,608;3;25;75
AT;AT003C1;Linz;O3;Ozone (air);1986;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1987;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1988;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1989;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1990;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1991;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1992;173851,704;1;0;0;100;0
AT;AT003C1;Linz;O3;Ozone (air);1993;173851,704;1;0;0;100;0
AT;AT003C1;Linz;O3;Ozone (air);1994;173851,704;1;0;0;100;0
AT;AT003C1;Linz;O3;Ozone (air);1995;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1996;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1997;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1998;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);1999;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2000;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2001;0;0;173851,704;2;0;100
AT;AT003C1;Linz;O3;Ozone (air);2002;86925,852;1;86925,852;1;50;50
AT;AT003C1;Linz;O3;Ozone (air);2003;173851,704;1;0;0;100;0
AT;AT003C1;Linz;O3;Ozone (air);2004;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2005;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2006;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2007;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2008;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2009;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2010;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2011;0;0;173851,704;1;0;100
AT;AT003C1;Linz;O3;Ozone (air);2012;0;0;173851,704;1;0;100
AT;AT004C1;Salzburg;O3;Ozone (air);1994;9429,568;1;0;0;100;0
AT;AT004C1;Salzburg;O3;Ozone (air);1995;9429,568;1;0;0;100;0
AT;AT004C1;Salzburg;O3;Ozone (air);1996;0;0;9429,568;1;0;100
AT;AT004C1;Salzburg;O3;Ozone (air);1997;0;0;9429,568;1;0;100
AT;AT004C1;Salzburg;O3;Ozone (air);1998;0;0;9429,568;1;0;100
AT;AT004C1;Salzburg;O3;Ozone (air);1999;0;0;9429,568;1;0;100
AT;AT004C1;Salzburg;O3;Ozone (air);2000;0;0;9429,568;1;0;100
AT;AT004C1;Salzburg;O3;Ozone (air);2001;9429,568;1;0;0;100;0
AT;AT004C1;Salzburg;O3;Ozone (air);2002;137907,432;1;9429,568;1;93,6;6,4
