O3 measurements at country level;;;;;;;;;;
O3: percentage of population and exceedances. Results are shown at country level  (including EU28 and EEA33 aggregates).;;;;;;;;;;
;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_TV?=1;;;;;;;;;;
nb_of_station_exc: count of stations having above_TV?=1;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_TV?=0;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_TV?=0;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;
;;;;;;;;;;
country_iso_code;country_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;Austria;O3;Ozone (air);1986;0;0;173851,704;1;0;100
AT;Austria;O3;Ozone (air);1987;0;0;173851,704;1;0;100
AT;Austria;O3;Ozone (air);1988;0;0;173851,704;1;0;100
AT;Austria;O3;Ozone (air);1989;7085,952;1;173851,704;1;3,91623952506603;96,083760474934
AT;Austria;O3;Ozone (air);1990;7085,952;1;173851,704;1;3,91623952506603;96,083760474934
AT;Austria;O3;Ozone (air);1991;5967,104;1;180937,656;2;3,19259070769519;96,8074092923048
AT;Austria;O3;Ozone (air);1992;1736735;9;316488,24;2;84,5857852261598;15,4142147738402
AT;Austria;O3;Ozone (air);1993;1427332,712;9;729522,576;4;66,1765636267388;33,8234363732612
AT;Austria;O3;Ozone (air);1994;2159198,904;13;7085,952;1;99,6728984195973;0,327101580402684
AT;Austria;O3;Ozone (air);1995;1198933,936;8;967350,92;7;55,3451653728405;44,6548346271595
AT;Austria;O3;Ozone (air);1996;1050193,04;6;1116091,816;9;48,4789909827076;51,5210090172924
AT;Austria;O3;Ozone (air);1997;1044225,936;5;1122058,92;10;48,2035376422352;51,7964623577648
AT;Austria;O3;Ozone (air);1998;1351145,952;8;815138,904;6;62,3715735378801;37,6284264621199
AT;Austria;O3;Ozone (air);1999;483430,896;4;1682853,96;11;22,3161277548995;77,6838722451005
AT;Austria;O3;Ozone (air);2000;1975917,632;11;190367,224;3;91,2122718546115;8,78772814538847
AT;Austria;O3;Ozone (air);2001;1675944,912;12;490339,944;4;77,364936903755;22,635063096245
AT;Austria;O3;Ozone (air);2002;1575979,236;11;728213,052;6;68,3961683322846;31,6038316677154
AT;Austria;O3;Ozone (air);2003;2304192,288;15;0;0;100;0
AT;Austria;O3;Ozone (air);2004;367411,824;2;1936780,464;14;15,9453629765816;84,0546370234184
AT;Austria;O3;Ozone (air);2005;983734,128;7;1320458,16;9;42,6932306441258;57,3067693558742
AT;Austria;O3;Ozone (air);2006;1437010,952;10;867181,336;6;62,3650621297453;37,6349378702547
AT;Austria;O3;Ozone (air);2007;1556916,192;9;747276,096;7;67,5688483165342;32,4311516834658
AT;Austria;O3;Ozone (air);2008;367411,824;2;1936780,464;14;15,9453629765816;84,0546370234184
AT;Austria;O3;Ozone (air);2009;454680,72;3;1849511,568;13;19,7327593867895;80,2672406132105
AT;Austria;O3;Ozone (air);2010;715556,712;5;1588635,576;10;31,0545571967473;68,9454428032527
AT;Austria;O3;Ozone (air);2011;527065,344;5;1771159,84;11;22,9335814292426;77,0664185707574
AT;Austria;O3;Ozone (air);2012;367411,824;2;1930813,36;14;15,9867634624267;84,0132365375733
BE;Belgium;O3;Ozone (air);1992;0;0;929298,412;1;0;100
BE;Belgium;O3;Ozone (air);1993;0;0;929298,412;2;0;100
BE;Belgium;O3;Ozone (air);1994;929298,412;2;334996,242;1;73,5033094587458;26,4966905412542
BE;Belgium;O3;Ozone (air);1995;929298,412;2;0;0;100;0
BE;Belgium;O3;Ozone (air);1996;0;0;1144360,06;3;0;100
BE;Belgium;O3;Ozone (air);1997;929298,412;2;437789,574;3;67,9764888227172;32,0235111772828
BE;Belgium;O3;Ozone (air);1998;0;0;1742152,564;6;0;100
BE;Belgium;O3;Ozone (air);1999;464649,206;1;1361985,116;7;25,4374507477365;74,5625492522635
BE;Belgium;O3;Ozone (air);2000;0;0;1860829,574;9;0;100
BE;Belgium;O3;Ozone (air);2001;929298,412;2;931531,162;7;49,9400065962193;50,0599934037807
BE;Belgium;O3;Ozone (air);2002;0;0;1860829,574;11;0;100
BE;Belgium;O3;Ozone (air);2003;1777125,26333333;8;83704,3106666667;3;95,5017744861644;4,49822551383562
BE;Belgium;O3;Ozone (air);2004;0;0;1860829,574;11;0;100
BE;Belgium;O3;Ozone (air);2005;0;0;1860829,574;12;0;100
BE;Belgium;O3;Ozone (air);2006;1500390,855;6;360438,719;5;80,6302133179661;19,3697866820339
BE;Belgium;O3;Ozone (air);2007;0;0;1860829,574;11;0;100
BE;Belgium;O3;Ozone (air);2008;24754,5293333333;1;1836075,04466667;11;1,33029535209512;98,6697046479049
BE;Belgium;O3;Ozone (air);2009;0;0;1860829,574;12;0;100
BE;Belgium;O3;Ozone (air);2010;0;0;1860829,574;12;0;100
BE;Belgium;O3;Ozone (air);2011;0;0;1860829,574;12;0;100
BE;Belgium;O3;Ozone (air);2012;0;0;1860829,574;12;0;100
BG;Bulgaria;O3;Ozone (air);1998;0;0;212034,692;2;0;100
BG;Bulgaria;O3;Ozone (air);1999;0;0;1499840,364;3;0;100
BG;Bulgaria;O3;Ozone (air);2000;0;0;60330,976;1;0;100
BG;Bulgaria;O3;Ozone (air);2001;0;0;1511058,612;4;0;100
BG;Bulgaria;O3;Ozone (air);2003;11218,248;1;1108747,492;2;1,00165992577594;98,9983400742241
BG;Bulgaria;O3;Ozone (air);2004;0;0;1504873,416;5;0;100
BG;Bulgaria;O3;Ozone (air);2005;0;0;1853649,76;8;0;100
BG;Bulgaria;O3;Ozone (air);2006;185854,38;1;1667795,38;7;10,0264021829021;89,9735978170979
BG;Bulgaria;O3;Ozone (air);2007;516616,276;2;1337033,484;6;27,8702205318442;72,1297794681558
BG;Bulgaria;O3;Ozone (air);2008;330761,896;1;1522887,864;9;17,843818348942;82,156181651058
BG;Bulgaria;O3;Ozone (air);2009;106413,812;2;1937021,3;11;5,20759437748175;94,7924056225182
BG;Bulgaria;O3;Ozone (air);2010;106413,812;2;1937021,3;11;5,20759437748176;94,7924056225182
BG;Bulgaria;O3;Ozone (air);2011;41405,508;1;2002029,604;12;2,02626977273942;97,9737302272606
BG;Bulgaria;O3;Ozone (air);2012;958461,921333333;5;1084973,19066667;8;46,9044461311641;53,0955538688359
CH;Switzerland;O3;Ozone (air);1991;168717,9;2;4326,1;1;97,5;2,5
CH;Switzerland;O3;Ozone (air);1992;540885,85;5;282575,45;9;65,6844286428518;34,3155713571482
CH;Switzerland;O3;Ozone (air);1993;474156,25;4;455734,55;12;50,9905302859218;49,0094697140783
CH;Switzerland;O3;Ozone (air);1994;574501,7;7;355389,1;8;61,7816307033041;38,2183692966959
CH;Switzerland;O3;Ozone (air);1995;571079,7;6;358811,1;10;61,4136305037108;38,5863694962892
CH;Switzerland;O3;Ozone (air);1996;532416,9;4;397473,9;12;57,255851977458;42,744148022542
CH;Switzerland;O3;Ozone (air);1997;368025,1;3;561865,7;13;39,5772385316642;60,4227614683359
CH;Switzerland;O3;Ozone (air);1998;376494,05;4;550039,2;11;40,6347046908462;59,3652953091538
CH;Switzerland;O3;Ozone (air);1999;46205;2;944121,7;14;4,66563205859238;95,3343679414076
CH;Switzerland;O3;Ozone (air);2000;371447,1;4;618879,6;12;37,5075316054793;62,4924683945207
CH;Switzerland;O3;Ozone (air);2001;566032,75;6;424293,95;10;57,1561637184982;42,8438362815019
CH;Switzerland;O3;Ozone (air);2002;560300,5;4;430026,2;12;56,5773395789491;43,422660421051
CH;Switzerland;O3;Ozone (air);2003;972983,85;11;17342,85;4;98,2487748739886;1,75122512601145
CH;Switzerland;O3;Ozone (air);2004;46205;2;944121,7;14;4,66563205859238;95,3343679414076
CH;Switzerland;O3;Ozone (air);2005;365714,85;2;622301,6;12;37,0150567837206;62,9849432162794
CH;Switzerland;O3;Ozone (air);2006;539433,75;6;342451,55;8;61,1682437614053;38,8317562385947
CH;Switzerland;O3;Ozone (air);2007;454169,35;4;427715,95;10;51,4998208950756;48,5001791049244
CH;Switzerland;O3;Ozone (air);2008;43894,75;2;837990,55;13;4,97737630959491;95,0226236904051
CH;Switzerland;O3;Ozone (air);2009;43894,75;2;837990,55;11;4,97737630959491;95,0226236904051
CH;Switzerland;O3;Ozone (air);2010;454169,35;4;427715,95;10;51,4998208950756;48,5001791049244
CH;Switzerland;O3;Ozone (air);2011;365714,85;3;452377;10;44,7033973019044;55,2966026980956
CH;Switzerland;O3;Ozone (air);2012;43894,75;2;774197,1;11;5,36550388565783;94,6344961143422
CY;Cyprus;O3;Ozone (air);1994;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);1997;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);1998;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);1999;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2000;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2001;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2002;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2003;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2004;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2005;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2006;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2007;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2008;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2009;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2010;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2011;0;0;12519,95;1;0;100
CY;Cyprus;O3;Ozone (air);2012;0;0;12519,95;1;0;100
CZ;Czech Republic;O3;Ozone (air);1993;1170866;2;0;0;100;0
CZ;Czech Republic;O3;Ozone (air);1994;1525335,26;4;16361,28;1;98,9387483479725;1,06125165202745
CZ;Czech Republic;O3;Ozone (air);1995;1763852,395;7;59531,835;1;96,7350910455116;3,26490895448844
CZ;Czech Republic;O3;Ozone (air);1996;410269,775;6;1413114,455;3;22,5004564726328;77,4995435273672
CZ;Czech Republic;O3;Ozone (air);1997;1248506,835;5;473052,14;6;72,5218742506338;27,4781257493662
