O3 measurements at station level;;;;;;;;;;;;;;;;;;;;
O3: Percentile 93.2 concentrations and exceedance flag;;;;;;;;;;;;;;;;;;;;
statistic_value is the percentile 93.2 of the daily maximum 8-hourly mean recorded for a specific year;;;;;;count_type_by_city: count of station of the same type (traffic or background) within the same city. Note: one station_european_code can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;;;;
"above_TV? = 1 if round(statistic_value,0) > 120; round(statistic_value,0) means that statistic_value is rounded to an integer value";;;;;;in the case of a traffic station: assigned_population=(UA_city_pop*percentage_taffic_population/100)/count_type_by_city;;;;;;;;;;;;;;
above_TV? = 0 if round(statistic_value,0) <= 120;;;;;;in the case of a background station: assigned_population=(UA_city_pop*percentage_background_population/100)/count_type_by_city;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
station_european_code;type_of_station;station_type_of_area;component_caption;component_name;measurement_unit;measurement_european_group_code;statistics_year;statistic_shortname;statistic_value;statistics_percentage_valid;above_TV?;country_iso_code;country_name;city_name;city_code;UA_city_pop;percentage_traffic_population;percentage_background_population;count_type_by_city;assigned_population
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1991;P93.2;126,429;92,877;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1992;P93.2;124,75;98,634;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1993;P93.2;123,571;100;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1994;P93.2;127,125;98,356;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1995;P93.2;110;96,712;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1996;P93.2;122,125;98,907;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1997;P93.2;104,75;96,438;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1998;P93.2;105,429;90,137;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;1999;P93.2;102;98,082;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2000;P93.2;131,875;98,634;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2001;P93.2;126,125;99,452;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2002;P93.2;115;99,178;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2003;P93.2;121,875;99,452;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2004;P93.2;110,112;98,907;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2005;P93.2;113,829;99,178;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2006;P93.2;122,675;98,082;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2007;P93.2;114,137;98,082;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2008;P93.2;109,488;98,634;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2009;P93.2;112,253;98,082;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;O3;Ozone (air);µg/m3;500;2010;P93.2;115,34;97,808;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;1992;P93.2;130;85,792;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;1993;P93.2;137,125;93,425;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;1994;P93.2;132,75;99,452;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;1995;P93.2;121,714;99,452;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;1996;P93.2;113,125;83,88;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;1997;P93.2;110,857;100;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;1998;P93.2;124,125;95,616;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;1999;P93.2;118,5;98,904;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2000;P93.2;128,375;97,814;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2001;P93.2;131,75;99,452;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2002;P93.2;125,857;97,808;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2003;P93.2;134,625;98,63;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2004;P93.2;114,586;98,634;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2005;P93.2;121,617;98,63;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2006;P93.2;133,375;96,986;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2007;P93.2;124,757;98,904;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2008;P93.2;117;99,454;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2009;P93.2;123,04;96,712;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2010;P93.2;124,449;99,178;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2011;P93.2;122,864;99,178;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;43634,448
AT2KA41;Background;suburban;O3;Ozone (air);µg/m3;500;2012;P93.2;120,253;99,454;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;43634,448
AT2KA71;Background;urban;O3;Ozone (air);µg/m3;100;2011;P93.2;110,336;99,452;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;43634,448
AT2KA71;Background;urban;O3;Ozone (air);µg/m3;100;2012;P93.2;107,664;99,18;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;43634,448
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1986;P93.2;117,438;81,37;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1987;P93.2;115,55;88,219;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1988;P93.2;113,275;95,355;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1989;P93.2;100,7;95,068;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1990;P93.2;115,5;97,534;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1991;P93.2;105,125;98,63;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1992;P93.2;131,5;88,251;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1993;P93.2;124,857;91,781;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1994;P93.2;134;96,712;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1995;P93.2;118,625;96,712;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1996;P93.2;113,5;96,721;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S416;Background;urban;O3;Ozone (air);µg/m3;500;1997;P93.2;111;98,904;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
