PM10 measurements at city  level;;;;;;;;;;;
PM10: percentage of population and exceedances. Results are shown at city level.;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_DLV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_DLV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_DLV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_DLV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;city_code;city_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2002;105778,56;2;1547011,44;1;6,4;93,6
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2003;1652790;9;0;0;100;0
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2004;52889,28;4;1599900,72;9;3,2;96,8
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2005;879284,28;15;773505,72;3;53,2;46,8
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2006;724583,135999999;13;928206,864;3;43,84;56,16
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2007;347867,218909091;5;1304922,78109091;11;21,0472727272727;78,9527272727273
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2008;28848,6981818182;3;1623941,30181818;13;1,74545454545455;98,2545454545455
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2009;31733,568;3;1621056,432;11;1,92;98,08
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2010;879284,28;10;773505,72;2;53,2;46,8
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2011;879284,28;10;773505,72;2;53,2;46,8
AT;AT001C1;Wien;PM10;Particulate matter < 10 µm (aerosol);2012;0;0;1652790;12;0;100
AT;AT002C1;Graz;PM10;Particulate matter < 10 µm (aerosol);2001;247904;3;0;0;100;0
