PM10 measurements at country level;;;;;;;;;;
PM10: percentage of population and exceedances. Results are shown at country level (including EU28 and EEA33 aggregates).;;;;;;;;;;
;;;;;;;;;;
"tot_pop_exc: sum of total population assigned to each stations for stations having above_DLV?=1;";;;;;;;;;;
nb_of_station_exc: count of stations having above_DLV?=1.;;;;;;;;;;
"tot_pop_no_exc: sum of total population assigned to each stations for stations having above_DLV?=0;";;;;;;;;;;
nb_of_station_no_exc: count of stations having above_DLV?=0.;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;
;;;;;;;;;;
country_iso_code;country_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2000;0;0;183281,272;2;0;100
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2001;443153,08;10;12972,544;4;97,1559273767088;2,84407262329117
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2002;512154,879333333;14;1734668,17666667;5;22,7946245239765;77,2053754760235
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2003;2105772,43466667;23;141050,621333333;2;93,7222194263733;6,27778057362668
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2004;487115,16;15;1759707,896;16;21,6801745335125;78,3198254664875
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2005;1329283,16266667;30;917539,893333333;6;59,1627880583164;40,8372119416836
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2006;1315473,00266667;30;931350,053333333;4;58,5481352950237;41,4518647049763
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2007;561833,766109091;15;1684989,28989091;23;25,0056970266861;74,9943029733139
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2008;193024,277915151;10;2053798,77808485;27;8,59098705613209;91,4090129438679
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2009;120155,733333333;7;2126667,32266667;32;5,34780578348015;94,6521942165198
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2010;1108761,31066667;18;1138061,74533333;13;49,3479585633497;50,6520414366503
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2011;1096575,25493333;21;1237516,69706667;17;46,9808078466539;53,0191921533461
AT;Austria;PM10;Particulate matter < 10 µm (aerosol);2012;15865,856;2;2318226,096;28;0,679744257136276;99,3202557428637
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);1996;249256,9;2;0;0;100;0
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);1997;1267885,226;5;0;0;100;0
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);1998;1267885,226;5;0;0;100;0
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);1999;862115,73;6;929298,412;1;48,1248701675148;51,8751298324852
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2000;862115,73;6;929298,412;3;48,1248701675148;51,8751298324852
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2001;1466581,67866667;7;309766,137333333;1;82,5616281595759;17,4383718404241
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2002;1481648,00466667;9;309766,137333333;1;82,7082900558383;17,2917099441617
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2003;1547979,23666667;10;309766,137333333;1;83,3256945936374;16,6743054063626
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2004;1127332,01;7;1158316,112;4;49,3222031488187;50,6777968511813
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2005;500340,068;5;1530444,148;7;24,6377760895498;75,3622239104502
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2006;1064354,01;9;966430,206;3;52,4109849591228;47,5890150408772
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2007;645888,481;4;1469377,493;9;30,5346225457697;69,4653774542303
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2008;37131,794;1;2251600,528;16;1,62237381991235;98,3776261800876
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2009;1045700,65206667;6;1258097,99593333;14;45,390279787449;54,609720212551
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2010;416059,3932;4;1887739,2548;15;18,0597116662602;81,9402883337398
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2011;902579,8372;10;1401218,8108;9;39,1778959495248;60,8221040504752
BE;Belgium;PM10;Particulate matter < 10 µm (aerosol);2012;366542,6544;3;1937255,9936;18;15,9103598189107;84,0896401810893
BG;Bulgaria;PM10;Particulate matter < 10 µm (aerosol);1998;0;0;60330,976;1;0;100
BG;Bulgaria;PM10;Particulate matter < 10 µm (aerosol);2000;1111565,716;2;0;0;100;0
BG;Bulgaria;PM10;Particulate matter < 10 µm (aerosol);2001;0;0;188672,604;2;0;100
BG;Bulgaria;PM10;Particulate matter < 10 µm (aerosol);2003;1442327,612;5;0;0;100;0
BG;Bulgaria;PM10;Particulate matter < 10 µm (aerosol);2004;1483733,12;5;0;0;100;0
BG;Bulgaria;PM10;Particulate matter < 10 µm (aerosol);2005;1715935,664;8;185854,38;2;90,2273975728101;9,77260242718991
