PM10 measurements at station level;;;;;;;;;;;;;;;;;;;;
PM10: Percentile 90.4 concentrations and exceedance flag:;;;;;;;;;;;;;;;;;;;;
statistic_value is the percentile 90.4 of the daily concentrations recorded for a specific year;;;;;;count_type_by_city: count of station of the same type (traffic or background) within the same city. Note: one station_european_code can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;;;;
"above_DLV? = 1 if round(statistic_value,0) > 50; round(statistic_value,0) means that statistic_value is rounded to an integer value";;;;;;in the case of a traffic station: assigned_population=(UA_city_pop*percentage_taffic_population/100)/count_type_by_city;;;;;;;;;;;;;;
above_DLV? = 0 if round(statistic_value,0) <= 50;;;;;;in the case of a background station: assigned_population=(UA_city_pop*percentage_background_population/100)/count_type_by_city;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
station_european_code;type_of_station;station_type_of_area;component_caption;component_name;measurement_unit;measurement_european_group_code;statistics_year;statistic_shortname;statistic_value;statistics_percentage_valid;above_DLV?;country_iso_code;country_name;city_name;city_code;UA_city_pop;percentage_traffic_population;percentage_background_population;count_type_by_city;assigned_population
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2004;P90.4;50;97,814;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2005;P90.4;48,2;100;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2006;P90.4;53,6;98,904;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2007;P90.4;38;100;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;4;1491,776
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2007;P90.4;40,696;98,63;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;4;1491,776
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2008;P90.4;33,56;95,902;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;4;1491,776
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2008;P90.4;36,258;98,634;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;4;1491,776
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2009;P90.4;35,9;100;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;5;1193,4208
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2009;P90.4;37,233;99,726;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;5;1193,4208
AT2KA11;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2010;P90.4;42,31;99,452;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;3;1989,03466666667
