PM2.5 measurements at city level;;;;;;;;;;;
PM2.5: percentage of population and exceedances. Results are shown at city level.;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_TV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_TV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_TV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_TV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;city_code;city_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;AT001C1;Wien;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;105778,56;1;0;100
AT;AT001C1;Wien;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;105778,56;1;0;100
AT;AT001C1;Wien;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;105778,56;2;0;100
AT;AT001C1;Wien;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;105778,56;1;0;100
AT;AT001C1;Wien;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;105778,56;2;0;100
AT;AT001C1;Wien;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;105778,56;2;0;100
AT;AT001C1;Wien;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;1652790;6;0;100
AT;AT001C1;Wien;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;1652790;6;0;100
AT;AT002C1;Graz;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;232038,144;1;0;100
AT;AT002C1;Graz;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;232038,144;1;0;100
AT;AT002C1;Graz;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;232038,144;2;0;100
AT;AT002C1;Graz;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;247904;3;0;100
AT;AT002C1;Graz;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;232038,144;2;0;100
AT;AT002C1;Graz;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;232038,144;2;0;100
AT;AT003C1;Linz;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;173851,704;1;0;100
AT;AT003C1;Linz;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;173851,704;1;0;100
AT;AT003C1;Linz;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;173851,704;1;0;100
AT;AT003C1;Linz;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;173851,704;1;0;100
AT;AT003C1;Linz;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;173851,704;1;0;100
AT;AT003C1;Linz;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;173851,704;1;0;100
