PM2.5 measurements at country level;;;;;;;;;;;
PM2.5: percentage of population and exceedances. Results are shown at country level  (including EU28 and EEA33 aggregates).;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_TV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_TV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_TV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_TV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;country_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc;
AT;Austria;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;9429,568;1;292683,32;4;3,12120679869837;96,8787932013016;
AT;Austria;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;15396,672;2;286716,216;3;5,09633074640629;94,9036692535937;
AT;Austria;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;534151,032;7;0;100;
AT;Austria;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;672058,464;7;0;100;
AT;Austria;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;672058,464;9;0;100;
AT;Austria;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;687924,32;10;0;100;
AT;Austria;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;2300371,696;14;0;100;
AT;Austria;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;2318226,096;16;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2000;0;0;929298,412;1;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2001;0;0;1003562;2;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2002;0;0;1003562;2;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;0;0;1029824,896;3;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;1029824,896;3;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;929298,412;1;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;1037757,252;4;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;1037757,252;4;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;1645767,926;10;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;2412699,952;15;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;2412699,952;15;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;2412699,952;13;0;100;
BE;Belgium;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;2412699,952;19;0;100;
BG;Bulgaria;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;75465,776;1;0;0;100;0;
BG;Bulgaria;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;75465,776;1;0;0;100;0;
BG;Bulgaria;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;75465,776;1;0;0;100;0;
BG;Bulgaria;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;273481,98;3;1260451,208;2;17,8288065047068;82,1711934952932;
BG;Bulgaria;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;1729921,136;5;145992,196;2;92,2175404636444;7,78245953635559;
BG;Bulgaria;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;1729921,136;5;145992,196;2;92,2175404636444;7,78245953635559;
BG;Bulgaria;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;1666678,88;4;145992,196;2;91,9460183409469;8,05398165905307;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);1998;0;0;328029,7;2;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);1999;0;0;371924,45;3;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2000;0;0;371924,45;3;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2001;0;0;371924,45;3;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2002;43894,75;1;328029,7;2;11,8020608755353;88,1979391244647;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;43894,75;1;6209,6;1;87,6066648903738;12,3933351096262;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;50104,35;2;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;50104,35;2;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;50104,35;2;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;50104,35;2;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;328029,7;2;0;100;
CH;Switzerland;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;328029,7;2;0;100;
CY;Cyprus;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;12519,95;1;0;0;100;0;
CY;Cyprus;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;12519,95;1;0;100;
CY;Cyprus;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;411205,6;2;0;100;
CY;Cyprus;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;411205,6;2;0;100;
CY;Cyprus;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;411205,6;2;0;100;
